"","datazone","year","crime_count","crime_rate","school_leaver_other_rate","school_leaver_pos_rate","simd","simd_decile","simd_quintile"
"221","S01000221",2004,42,542,NA,NA,1703,NA,NA
"222","S01000222",2004,31,420,NA,NA,3206,NA,NA
"223","S01000223",2004,57,1103,NA,NA,3824,NA,NA
"224","S01000224",2004,41,466,NA,NA,3279,NA,NA
"225","S01000225",2004,16,296,NA,NA,4752,NA,NA
"226","S01000226",2004,12,213,NA,NA,6174,NA,NA
"227","S01000227",2004,11,175,NA,NA,6215,NA,NA
"228","S01000228",2004,110,1800,NA,NA,4670,NA,NA
"229","S01000229",2004,124,1664,NA,NA,2852,NA,NA
"230","S01000230",2004,13,183,NA,NA,3295,NA,NA
"231","S01000231",2004,5,69,NA,NA,6369,NA,NA
"232","S01000232",2004,100,1534,NA,NA,2520,NA,NA
"233","S01000233",2004,12,226,NA,NA,3430,NA,NA
"234","S01000234",2004,9,122,NA,NA,5416,NA,NA
"235","S01000235",2004,14,151,NA,NA,5873,NA,NA
"236","S01000236",2004,12,184,NA,NA,4833,NA,NA
"237","S01000237",2004,33,383,NA,NA,5804,NA,NA
"238","S01000238",2004,9,194,NA,NA,6263,NA,NA
"239","S01000239",2004,12,165,NA,NA,5951,NA,NA
"240","S01000240",2004,13,189,NA,NA,6053,NA,NA
"241","S01000241",2004,15,204,NA,NA,6431,NA,NA
"242","S01000242",2004,49,805,NA,NA,5357,NA,NA
"243","S01000243",2004,6,91,NA,NA,6362,NA,NA
"244","S01000244",2004,121,1220,NA,NA,4707,NA,NA
"245","S01000245",2004,15,175,NA,NA,4657,NA,NA
"246","S01000246",2004,NA,NA,NA,NA,5692,NA,NA
"247","S01000247",2004,NA,NA,NA,NA,5966,NA,NA
"248","S01000248",2004,6,75,NA,NA,5952,NA,NA
"249","S01000249",2004,17,250,NA,NA,4841,NA,NA
"250","S01000250",2004,46,646,NA,NA,6050,NA,NA
"251","S01000251",2004,NA,NA,NA,NA,6339,NA,NA
"252","S01000252",2004,11,132,NA,NA,5795,NA,NA
"253","S01000253",2004,8,108,NA,NA,6122,NA,NA
"254","S01000254",2004,27,346,NA,NA,5853,NA,NA
"255","S01000255",2004,NA,NA,NA,NA,5160,NA,NA
"256","S01000256",2004,25,276,NA,NA,4601,NA,NA
"257","S01000257",2004,31,395,NA,NA,5618,NA,NA
"258","S01000258",2004,NA,NA,NA,NA,6177,NA,NA
"259","S01000259",2004,5,86,NA,NA,5649,NA,NA
"260","S01000260",2004,12,133,NA,NA,5896,NA,NA
"261","S01000261",2004,33,337,NA,NA,6225,NA,NA
"262","S01000262",2004,28,309,NA,NA,5334,NA,NA
"263","S01000263",2004,37,485,NA,NA,4394,NA,NA
"264","S01000264",2004,18,198,NA,NA,3797,NA,NA
"265","S01000265",2004,16,211,NA,NA,3304,NA,NA
"266","S01000266",2004,45,529,NA,NA,4445,NA,NA
"267","S01000267",2004,53,753,NA,NA,3708,NA,NA
"268","S01000268",2004,23,304,NA,NA,3983,NA,NA
"269","S01000269",2004,6,89,NA,NA,4834,NA,NA
"270","S01000270",2004,25,267,NA,NA,4361,NA,NA
"271","S01000271",2004,30,337,NA,NA,3827,NA,NA
"272","S01000272",2004,29,320,NA,NA,4591,NA,NA
"273","S01000273",2004,14,235,NA,NA,3770,NA,NA
"274","S01000274",2004,17,286,NA,NA,3986,NA,NA
"275","S01000275",2004,25,261,NA,NA,5321,NA,NA
"276","S01000276",2004,8,115,NA,NA,6450,NA,NA
"277","S01000277",2004,27,412,NA,NA,5842,NA,NA
"278","S01000278",2004,26,498,NA,NA,3890,NA,NA
"279","S01000279",2004,17,230,NA,NA,5190,NA,NA
"280","S01000280",2004,24,389,NA,NA,4303,NA,NA
"281","S01000281",2004,5,73,NA,NA,2846,NA,NA
"282","S01000282",2004,10,148,NA,NA,3978,NA,NA
"283","S01000283",2004,16,182,NA,NA,4693,NA,NA
"284","S01000284",2004,30,267,NA,NA,4895,NA,NA
"285","S01000285",2004,24,335,NA,NA,5059,NA,NA
"286","S01000286",2004,35,412,NA,NA,5621,NA,NA
"287","S01000287",2004,12,160,NA,NA,6128,NA,NA
"288","S01000288",2004,23,268,NA,NA,5930,NA,NA
"289","S01000289",2004,21,255,NA,NA,5205,NA,NA
"290","S01000290",2004,24,333,NA,NA,3800,NA,NA
"291","S01000291",2004,7,78,NA,NA,6353,NA,NA
"292","S01000292",2004,41,412,NA,NA,6416,NA,NA
"293","S01000293",2004,119,1564,NA,NA,4726,NA,NA
"294","S01000294",2004,NA,NA,NA,NA,6155,NA,NA
"295","S01000295",2004,NA,NA,NA,NA,6066,NA,NA
"296","S01000296",2004,24,271,NA,NA,6473,NA,NA
"297","S01000297",2004,14,169,NA,NA,5189,NA,NA
"298","S01000298",2004,37,371,NA,NA,5273,NA,NA
